provincia_id,provincia_nombre,anio,poblacion_total,poblacion_masculina,poblacion_femenina
06,BUENOS AIRES,2022,17875743,8778048,9097695
06,BUENOS AIRES,2023,18039509,8861488,9178021
06,BUENOS AIRES,2024,18200851,8943682,9257169
06,BUENOS AIRES,2025,18359753,9024621,9335132
06,BUENOS AIRES,2026,18516459,9104437,9412022
06,BUENOS AIRES,2027,18671214,9183262,9487952
06,BUENOS AIRES,2028,18824007,9261094,9562913
06,BUENOS AIRES,2029,18974810,9337923,9636887
06,BUENOS AIRES,2030,19123592,9413737,9709855
06,BUENOS AIRES,2031,19270454,9488592,9781862
06,BUENOS AIRES,2032,19415494,9562541,9852953
06,BUENOS AIRES,2033,19558673,9635567,9923106
06,BUENOS AIRES,2034,19699931,9707643,9992288
06,BUENOS AIRES,2035,19839191,9778732,10060459
06,BUENOS AIRES,2036,19976410,9848813,10127597
06,BUENOS AIRES,2037,20111548,9917868,10193680
06,BUENOS AIRES,2038,20244529,9985856,10258673
06,BUENOS AIRES,2039,20375264,10052731,10322533
06,BUENOS AIRES,2040,20503653,10118438,10385215
10,CATAMARCA,2010,377676,188677,188999
10,CATAMARCA,2011,381548,190654,190894
10,CATAMARCA,2012,385408,192625,192783
10,CATAMARCA,2013,389256,194590,194666
10,CATAMARCA,2014,393088,196547,196541
10,CATAMARCA,2015,396895,198490,198405
10,CATAMARCA,2016,400678,200420,200258
10,CATAMARCA,2017,404433,202334,202099
10,CATAMARCA,2018,408152,204228,203924
10,CATAMARCA,2019,411824,206096,205728
10,CATAMARCA,2020,415438,207933,207505
10,CATAMARCA,2021,418991,209737,209254
10,CATAMARCA,2022,422476,211503,210973
10,CATAMARCA,2023,425885,213228,212657
10,CATAMARCA,2024,429208,214907,214301
10,CATAMARCA,2025,432438,216536,215902
10,CATAMARCA,2026,435572,218113,217459
10,CATAMARCA,2027,438610,219639,218971
10,CATAMARCA,2028,441548,221112,220436
10,CATAMARCA,2029,444382,222529,221853
10,CATAMARCA,2030,447107,223889,223218
10,CATAMARCA,2031,449719,225189,224530
10,CATAMARCA,2032,452217,226430,225787
10,CATAMARCA,2033,454596,227608,226988
10,CATAMARCA,2034,456854,228723,228131
10,CATAMARCA,2035,458989,229774,229215
10,CATAMARCA,2036,460999,230761,230238
10,CATAMARCA,2037,462883,231683,231200
10,CATAMARCA,2038,464640,232540,232100
10,CATAMARCA,2039,466275,233334,232941
10,CATAMARCA,2040,467787,234065,233722
14,CÓRDOBA,2010,3373025,1642300,1730725
14,CÓRDOBA,2011,3411773,1661989,1749784
14,CÓRDOBA,2012,3450673,1681770,1768903
14,CÓRDOBA,2013,3489669,1701613,1788056
14,CÓRDOBA,2014,3528687,1721478,1807209
14,CÓRDOBA,2015,3567654,1741325,1826329
14,CÓRDOBA,2016,3606540,1761138,1845402
14,CÓRDOBA,2017,3645321,1780905,1864416
14,CÓRDOBA,2018,3683937,1800593,1883344
14,CÓRDOBA,2019,3722332,1820172,1902160
14,CÓRDOBA,2020,3760450,1839612,1920838
14,CÓRDOBA,2021,3798261,1858896,1939365
14,CÓRDOBA,2022,3835738,1878010,1957728
14,CÓRDOBA,2023,3872830,1896928,1975902
14,CÓRDOBA,2024,3909489,1915625,1993864
14,CÓRDOBA,2025,3945677,1934082,2011595
14,CÓRDOBA,2026,3981393,1952301,2029092
14,CÓRDOBA,2027,4016659,1970295,2046364
14,CÓRDOBA,2028,4051461,1988057,2063404
14,CÓRDOBA,2029,4085783,2005579,2080204
14,CÓRDOBA,2030,4119615,2022857,2096758
14,CÓRDOBA,2031,4152951,2039888,2113063
14,CÓRDOBA,2032,4185790,2056671,2129119
14,CÓRDOBA,2033,4218137,2073209,2144928
14,CÓRDOBA,2034,4250000,2089505,2160495
14,CÓRDOBA,2035,4281389,2105563,2175826
14,CÓRDOBA,2036,4312310,2121388,2190922
14,CÓRDOBA,2037,4342769,2136982,2205787
14,CÓRDOBA,2038,4372781,2152351,2220430
14,CÓRDOBA,2039,4402358,2167500,2234858
14,CÓRDOBA,2040,4431509,2182434,2249075
18,CORRIENTES,2010,1017731,501452,516279
18,CORRIENTES,2011,1028248,506702,521546
18,CORRIENTES,2012,1038786,511969,526817
18,CORRIENTES,2013,1049325,517240,532085
18,CORRIENTES,2014,1059836,522500,537336
18,CORRIENTES,2015,1070283,527731,542552
18,CORRIENTES,2016,1080655,532925,547730
18,CORRIENTES,2017,1090938,538075,552863
18,CORRIENTES,2018,1101084,543156,557928
18,CORRIENTES,2019,1111052,548147,562905
18,CORRIENTES,2020,1120801,553026,567775
18,CORRIENTES,2021,1130320,557787,572533
18,CORRIENTES,2022,1139604,562427,577177
18,CORRIENTES,2023,1148631,566935,581696
18,CORRIENTES,2024,1157386,571303,586083
18,CORRIENTES,2025,1165860,575526,590334
18,CORRIENTES,2026,1174065,579610,594455
18,CORRIENTES,2027,1182008,583560,598448
18,CORRIENTES,2028,1189680,587371,602309
18,CORRIENTES,2029,1197076,591042,606034
18,CORRIENTES,2030,1204189,594569,609620
18,CORRIENTES,2031,1211027,597957,613070
18,CORRIENTES,2032,1217593,601207,616386
18,CORRIENTES,2033,1223885,604319,619566
18,CORRIENTES,2034,1229901,607293,622608
18,CORRIENTES,2035,1235644,610131,625513
18,CORRIENTES,2036,1241119,612836,628283
18,CORRIENTES,2037,1246340,615417,630923
18,CORRIENTES,2038,1251313,617876,633437
18,CORRIENTES,2039,1256046,620219,635827
18,CORRIENTES,2040,1260548,622451,638097
22,CHACO,2010,1080017,534347,545670
22,CHACO,2011,1092625,540391,552234
22,CHACO,2012,1105280,546471,558809
22,CHACO,2013,1117953,552570,565383
22,CHACO,2014,1130608,558670,571938
22,CHACO,2015,1143201,564746,578455
22,CHACO,2016,1155723,570793,584930
22,CHACO,2017,1168165,576806,591359
22,CHACO,2018,1180477,582759,597718
22,CHACO,2019,1192616,588629,603987
22,CHACO,2020,1204541,594394,610147
22,CHACO,2021,1216247,600052,616195
22,CHACO,2022,1227736,605603,622133
22,CHACO,2023,1238989,611037,627952
22,CHACO,2024,1249992,616347,633645
22,CHACO,2025,1260737,621528,639209
22,CHACO,2026,1271241,626589,644652
22,CHACO,2027,1281525,631540,649985
22,CHACO,2028,1291581,636378,655203
22,CHACO,2029,1301397,641096,660301
22,CHACO,2030,1310964,645690,665274
22,CHACO,2031,1320278,650158,670120
22,CHACO,2032,1329337,654500,674837
22,CHACO,2033,1338130,658710,679420
22,CHACO,2034,1346652,662787,683865
22,CHACO,2035,1354895,666726,688169
22,CHACO,2036,1362863,670530,692333
22,CHACO,2037,1370566,674204,696362
22,CHACO,2038,1378007,677751,700256
22,CHACO,2039,1385188,681171,704017
22,CHACO,2040,1392114,684468,707646
26,CHUBUT,2010,513433,256540,256893
26,CHUBUT,2011,524201,262005,262196
26,CHUBUT,2012,534945,267460,267485
26,CHUBUT,2013,545656,272901,272755
26,CHUBUT,2014,556319,278319,278000
26,CHUBUT,2015,566922,283708,283214
26,CHUBUT,2016,577466,289068,288398
26,CHUBUT,2017,587956,294402,293554
26,CHUBUT,2018,598380,299702,298678
26,CHUBUT,2019,608729,304965,303764
26,CHUBUT,2020,618994,310185,308809
26,CHUBUT,2021,629181,315365,313816
26,CHUBUT,2022,639294,320508,318786
26,CHUBUT,2023,649330,325610,323720
26,CHUBUT,2024,659284,330670,328614
26,CHUBUT,2025,669155,335688,333467
26,CHUBUT,2026,678951,340667,338284
26,CHUBUT,2027,688682,345612,343070
26,CHUBUT,2028,698351,350524,347827
26,CHUBUT,2029,707956,355402,352554
26,CHUBUT,2030,717495,360246,357249
26,CHUBUT,2031,726971,365057,361914
26,CHUBUT,2032,736386,369836,366550
26,CHUBUT,2033,745737,374582,371155
26,CHUBUT,2034,755021,379293,375728
26,CHUBUT,2035,764230,383965,380265
26,CHUBUT,2036,773367,388600,384767
26,CHUBUT,2037,782427,393195,389232
26,CHUBUT,2038,791405,397749,393656
26,CHUBUT,2039,800299,402259,398040
26,CHUBUT,2040,809102,406723,402379
30,ENTRE RÍOS,2010,1255574,615107,640467
30,ENTRE RÍOS,2011,1268744,621717,647027
30,ENTRE RÍOS,2012,1281931,628346,653585
30,ENTRE RÍOS,2013,1295121,634985,660136
30,ENTRE RÍOS,2014,1308290,641619,666671
30,ENTRE RÍOS,2015,1321415,648236,673179
30,ENTRE RÍOS,2016,1334489,654832,679657
30,ENTRE RÍOS,2017,1347508,661403,686105
30,ENTRE RÍOS,2018,1360443,667934,692509
30,ENTRE RÍOS,2019,1373270,674412,698858
30,ENTRE RÍOS,2020,1385961,680822,705139
30,ENTRE RÍOS,2021,1398510,687159,711351
30,ENTRE RÍOS,2022,1410908,693419,717489
30,ENTRE RÍOS,2023,1423136,699592,723544
30,ENTRE RÍOS,2024,1435177,705669,729508
30,ENTRE RÍOS,2025,1447019,711644,735375
30,ENTRE RÍOS,2026,1458661,717517,741144
30,ENTRE RÍOS,2027,1470109,723292,746817
30,ENTRE RÍOS,2028,1481358,728967,752391
30,ENTRE RÍOS,2029,1492399,734538,757861
30,ENTRE RÍOS,2030,1503222,740000,763222
30,ENTRE RÍOS,2031,1513825,745353,768472
30,ENTRE RÍOS,2032,1524206,750595,773611
30,ENTRE RÍOS,2033,1534359,755724,778635
30,ENTRE RÍOS,2034,1544281,760740,783541
30,ENTRE RÍOS,2035,1553972,765642,788330
30,ENTRE RÍOS,2036,1563429,770428,793001
30,ENTRE RÍOS,2037,1572653,775100,797553
30,ENTRE RÍOS,2038,1581648,779660,801988
30,ENTRE RÍOS,2039,1590415,784108,806307
30,ENTRE RÍOS,2040,1598960,788447,810513
34,FORMOSA,2010,551626,275092,276534
34,FORMOSA,2011,557223,277823,279400
34,FORMOSA,2012,562794,280542,282252
34,FORMOSA,2013,568331,283244,285087
34,FORMOSA,2014,573823,285924,287899
34,FORMOSA,2015,579250,288571,290679
34,FORMOSA,2016,584614,291187,293427
34,FORMOSA,2017,589916,293772,296144
34,FORMOSA,2018,595129,296313,298816
34,FORMOSA,2019,600229,298797,301432
34,FORMOSA,2020,605193,301213,303980
34,FORMOSA,2021,610019,303560,306459
34,FORMOSA,2022,614706,305837,308869
34,FORMOSA,2023,619240,308037,311203
34,FORMOSA,2024,623605,310153,313452
34,FORMOSA,2025,627790,312179,315611
34,FORMOSA,2026,631801,314118,317683
34,FORMOSA,2027,635646,315975,319671
34,FORMOSA,2028,639319,317746,321573
34,FORMOSA,2029,642812,319428,323384
34,FORMOSA,2030,646119,321018,325101
34,FORMOSA,2031,649242,322517,326725
34,FORMOSA,2032,652185,323928,328257
34,FORMOSA,2033,654940,325247,329693
34,FORMOSA,2034,657503,326471,331032
34,FORMOSA,2035,659871,327600,332271
34,FORMOSA,2036,662045,328634,333411
34,FORMOSA,2037,664031,329577,334454
34,FORMOSA,2038,665827,330428,335399
34,FORMOSA,2039,667437,331189,336248
34,FORMOSA,2040,668865,331862,337003
38,JUJUY,2010,683513,336954,346559
38,JUJUY,2011,692379,341398,350981
38,JUJUY,2012,701252,345849,355403
38,JUJUY,2013,710121,350301,359820
38,JUJUY,2014,718971,354747,364224
38,JUJUY,2015,727780,359175,368605
38,JUJUY,2016,736542,363581,372961
38,JUJUY,2017,745252,367963,377289
38,JUJUY,2018,753891,372312,381579
38,JUJUY,2019,762440,376618,385822
38,JUJUY,2020,770881,380872,390009
38,JUJUY,2021,779212,385072,394140
38,JUJUY,2022,787436,389221,398215
38,JUJUY,2023,795539,393311,402228
38,JUJUY,2024,803507,397335,406172
38,JUJUY,2025,811328,401287,410041
38,JUJUY,2026,819006,405169,413837
38,JUJUY,2027,826541,408980,417561
38,JUJUY,2028,833925,412717,421208
38,JUJUY,2029,841151,416376,424775
38,JUJUY,2030,848213,419954,428259
38,JUJUY,2031,855109,423451,431658
38,JUJUY,2032,861838,426866,434972
38,JUJUY,2033,868393,430194,438199
38,JUJUY,2034,874769,433434,441335
38,JUJUY,2035,880965,436585,444380
38,JUJUY,2036,886977,439645,447332
38,JUJUY,2037,892807,442615,450192
38,JUJUY,2038,898453,445494,452959
38,JUJUY,2039,903916,448283,455633
38,JUJUY,2040,909196,450981,458215
42,LA PAMPA,2010,327028,162435,164593
42,LA PAMPA,2011,330268,164027,166241
42,LA PAMPA,2012,333496,165612,167884
42,LA PAMPA,2013,336706,167187,169519
42,LA PAMPA,2014,339895,168750,171145
42,LA PAMPA,2015,343056,170298,172758
42,LA PAMPA,2016,346191,171831,174360
42,LA PAMPA,2017,349299,173350,175949
42,LA PAMPA,2018,352378,174853,177525
42,LA PAMPA,2019,355422,176337,179085
42,LA PAMPA,2020,358428,177801,180627
42,LA PAMPA,2021,361394,179244,182150
42,LA PAMPA,2022,364322,180667,183655
42,LA PAMPA,2023,367207,182068,185139
42,LA PAMPA,2024,370047,183445,186602
42,LA PAMPA,2025,372838,184796,188042
42,LA PAMPA,2026,375579,186122,189457
42,LA PAMPA,2027,378272,187424,190848
42,LA PAMPA,2028,380911,188698,192213
42,LA PAMPA,2029,383495,189945,193550
42,LA PAMPA,2030,386024,191163,194861
42,LA PAMPA,2031,388496,192353,196143
42,LA PAMPA,2032,390910,193514,197396
42,LA PAMPA,2033,393265,194646,198619
42,LA PAMPA,2034,395561,195748,199813
42,LA PAMPA,2035,397800,196822,200978
42,LA PAMPA,2036,399980,197867,202113
42,LA PAMPA,2037,402103,198884,203219
42,LA PAMPA,2038,404168,199873,204295
42,LA PAMPA,2039,406177,200835,205342
42,LA PAMPA,2040,408128,201768,206360
46,LA RIOJA,2010,342582,170647,171935
46,LA RIOJA,2011,347494,173075,174419
46,LA RIOJA,2012,352476,175541,176935
46,LA RIOJA,2013,357516,178039,179477
46,LA RIOJA,2014,362605,180563,182042
46,LA RIOJA,2015,367728,183105,184623
46,LA RIOJA,2016,372879,185662,187217
46,LA RIOJA,2017,378047,188229,189818
46,LA RIOJA,2018,383220,190798,192422
46,LA RIOJA,2019,388386,193364,195022
46,LA RIOJA,2020,393531,195919,197612
46,LA RIOJA,2021,398648,198459,200189
46,LA RIOJA,2022,403727,200980,202747
46,LA RIOJA,2023,408760,203476,205284
46,LA RIOJA,2024,413735,205942,207793
46,LA RIOJA,2025,418645,208374,210271
46,LA RIOJA,2026,423488,210770,212718
46,LA RIOJA,2027,428256,213127,215129
46,LA RIOJA,2028,432944,215442,217502
46,LA RIOJA,2029,437549,217713,219836
46,LA RIOJA,2030,442067,219938,222129
46,LA RIOJA,2031,446498,222118,224380
46,LA RIOJA,2032,450839,224251,226588
46,LA RIOJA,2033,455091,226338,228753
46,LA RIOJA,2034,459255,228379,230876
46,LA RIOJA,2035,463331,230375,232956
46,LA RIOJA,2036,467323,232328,234995
46,LA RIOJA,2037,471232,234238,236994
46,LA RIOJA,2038,475062,236108,238954
46,LA RIOJA,2039,478816,237940,240876
46,LA RIOJA,2040,482498,239735,242763
50,MENDOZA,2010,1774737,869428,905309
50,MENDOZA,2011,1797235,880869,916366
50,MENDOZA,2012,1819608,892249,927359
50,MENDOZA,2013,1841813,903547,938266
50,MENDOZA,2014,1863809,914741,949068
50,MENDOZA,2015,1885551,925809,959742
50,MENDOZA,2016,1907045,936753,970292
50,MENDOZA,2017,1928304,947581,980723
50,MENDOZA,2018,1949293,958274,991019
50,MENDOZA,2019,1969982,968816,1001166
50,MENDOZA,2020,1990338,979191,1011147
50,MENDOZA,2021,2010363,989400,1020963
50,MENDOZA,2022,2030061,999446,1030615
50,MENDOZA,2023,2049411,1009317,1040094
50,MENDOZA,2024,2068396,1019006,1049390
50,MENDOZA,2025,2087006,1028506,1058500
50,MENDOZA,2026,2105259,1037828,1067431
50,MENDOZA,2027,2123178,1046983,1076195
50,MENDOZA,2028,2140766,1055973,1084793
50,MENDOZA,2029,2158023,1064800,1093223
50,MENDOZA,2030,2174953,1073465,1101488
50,MENDOZA,2031,2191575,1081978,1109597
50,MENDOZA,2032,2207912,1090353,1117559
50,MENDOZA,2033,2223969,1098593,1125376
50,MENDOZA,2034,2239753,1106701,1133052
50,MENDOZA,2035,2255267,1114678,1140589
50,MENDOZA,2036,2270521,1122529,1147992
50,MENDOZA,2037,2285519,1130257,1155262
50,MENDOZA,2038,2300262,1137860,1162402
50,MENDOZA,2039,2314745,1145336,1169409
50,MENDOZA,2040,2328963,1152681,1176282
54,MISIONES,2010,1113279,556697,556582
54,MISIONES,2011,1128798,564334,564464
54,MISIONES,2012,1144189,571915,572274
54,MISIONES,2013,1159445,579436,580009
54,MISIONES,2014,1174542,586884,587658
54,MISIONES,2015,1189446,594241,595205
54,MISIONES,2016,1204182,601518,602664
54,MISIONES,2017,1218771,608726,610045
54,MISIONES,2018,1233177,615846,617331
54,MISIONES,2019,1247362,622859,624503
54,MISIONES,2020,1261294,629747,631547
54,MISIONES,2021,1274992,636519,638473
54,MISIONES,2022,1288476,643186,645290
54,MISIONES,2023,1301723,649736,651987
54,MISIONES,2024,1314714,656159,658555
54,MISIONES,2025,1327431,662445,664986
54,MISIONES,2026,1339893,668604,671289
54,MISIONES,2027,1352117,674645,677472
54,MISIONES,2028,1364086,680558,683528
54,MISIONES,2029,1375781,686333,689448
54,MISIONES,2030,1387184,691961,695223
54,MISIONES,2031,1398304,697447,700857
54,MISIONES,2032,1409156,702799,706357
54,MISIONES,2033,1419725,708009,711716
54,MISIONES,2034,1429997,713071,716926
54,MISIONES,2035,1439958,717977,721981
54,MISIONES,2036,1449601,722726,726875
54,MISIONES,2037,1458924,727315,731609
54,MISIONES,2038,1467913,731739,736174
54,MISIONES,2039,1476556,735992,740564
54,MISIONES,2040,1484840,740068,744772
58,NEUQUÉN,2010,571910,284848,287062
58,NEUQUÉN,2011,581720,289679,292041
58,NEUQUÉN,2012,591422,294454,296968
58,NEUQUÉN,2013,601003,299165,301838
58,NEUQUÉN,2014,610449,303806,306643
58,NEUQUÉN,2015,619745,308370,311375
58,NEUQUÉN,2016,628897,312859,316038
58,NEUQUÉN,2017,637913,317278,320635
58,NEUQUÉN,2018,646784,321623,325161
58,NEUQUÉN,2019,655501,325888,329613
58,NEUQUÉN,2020,664057,330070,333987
58,NEUQUÉN,2021,672461,334174,338287
58,NEUQUÉN,2022,680726,338206,342520
58,NEUQUÉN,2023,688850,342167,346683
58,NEUQUÉN,2024,696833,346055,350778
58,NEUQUÉN,2025,704673,349870,354803
58,NEUQUÉN,2026,712383,353619,358764
58,NEUQUÉN,2027,719973,357308,362665
58,NEUQUÉN,2028,727444,360937,366507
58,NEUQUÉN,2029,734793,364505,370288
58,NEUQUÉN,2030,742015,368010,374005
58,NEUQUÉN,2031,749119,371458,377661
58,NEUQUÉN,2032,756107,374849,381258
58,NEUQUÉN,2033,762975,378181,384794
58,NEUQUÉN,2034,769720,381454,388266
58,NEUQUÉN,2035,776338,384666,391672
58,NEUQUÉN,2036,782827,387816,395011
58,NEUQUÉN,2037,789191,390907,398284
58,NEUQUÉN,2038,795423,393935,401488
58,NEUQUÉN,2039,801521,396900,404621
58,NEUQUÉN,2040,807482,399800,407682
62,RÍO NEGRO,2010,648277,322712,325565
62,RÍO NEGRO,2011,658486,327873,330613
62,RÍO NEGRO,2012,668663,333014,335649
62,RÍO NEGRO,2013,678797,338129,340668
62,RÍO NEGRO,2014,688873,343212,345661
62,RÍO NEGRO,2015,698874,348253,350621
62,RÍO NEGRO,2016,708799,353253,355546
62,RÍO NEGRO,2017,718646,358210,360436
62,RÍO NEGRO,2018,728403,363118,365285
62,RÍO NEGRO,2019,738060,367973,370087
62,RÍO NEGRO,2020,747610,372770,374840
62,RÍO NEGRO,2021,757052,377510,379542
62,RÍO NEGRO,2022,766387,382193,384194
62,RÍO NEGRO,2023,775610,386817,388793
62,RÍO NEGRO,2024,784715,391379,393336
62,RÍO NEGRO,2025,793697,395877,397820
62,RÍO NEGRO,2026,802561,400313,402248
62,RÍO NEGRO,2027,811311,404690,406621
62,RÍO NEGRO,2028,819946,409007,410939
62,RÍO NEGRO,2029,828459,413262,415197
62,RÍO NEGRO,2030,836851,417454,419397
62,RÍO NEGRO,2031,845121,421585,423536
62,RÍO NEGRO,2032,853269,425654,427615
62,RÍO NEGRO,2033,861296,429663,431633
62,RÍO NEGRO,2034,869196,433608,435588
62,RÍO NEGRO,2035,876969,437490,439479
62,RÍO NEGRO,2036,884612,441308,443304
62,RÍO NEGRO,2037,892125,445062,447063
62,RÍO NEGRO,2038,899508,448752,450756
62,RÍO NEGRO,2039,906759,452377,454382
62,RÍO NEGRO,2040,913879,455938,457941
66,SALTA,2010,1239111,613103,626008
66,SALTA,2011,1258111,622489,635622
66,SALTA,2012,1277062,631855,645207
66,SALTA,2013,1295944,641191,654753
66,SALTA,2014,1314726,650481,664245
66,SALTA,2015,1333365,659702,673663
66,SALTA,2016,1351878,668863,683015
66,SALTA,2017,1370283,677974,692309
66,SALTA,2018,1388532,687008,701524
66,SALTA,2019,1406584,695946,710638
66,SALTA,2020,1424397,704765,719632
66,SALTA,2021,1441988,713474,728514
66,SALTA,2022,1459378,722085,737293
66,SALTA,2023,1476539,730582,745957
66,SALTA,2024,1493448,738954,754494
66,SALTA,2025,1510087,747191,762896
66,SALTA,2026,1526480,755306,771174
66,SALTA,2027,1542650,763311,779339
66,SALTA,2028,1558584,771199,787385
66,SALTA,2029,1574262,778960,795302
66,SALTA,2030,1589668,786586,803082
66,SALTA,2031,1604807,794078,810729
66,SALTA,2032,1619690,801444,818246
66,SALTA,2033,1634300,808674,825626
66,SALTA,2034,1648618,815759,832859
66,SALTA,2035,1662631,822693,839938
66,SALTA,2036,1676343,829477,846866
66,SALTA,2037,1689758,836113,853645
66,SALTA,2038,1702871,842599,860272
66,SALTA,2039,1715673,848930,866743
66,SALTA,2040,1728163,855106,873057
70,SAN JUAN,2010,696076,343077,352999
70,SAN JUAN,2011,704652,347533,357119
70,SAN JUAN,2012,713240,351996,361244
70,SAN JUAN,2013,721830,356460,365370
70,SAN JUAN,2014,730408,360918,369490
70,SAN JUAN,2015,738959,365362,373597
70,SAN JUAN,2016,747488,369794,377694
70,SAN JUAN,2017,755994,374215,381779
70,SAN JUAN,2018,764464,378617,385847
70,SAN JUAN,2019,772876,382990,389886
70,SAN JUAN,2020,781217,387326,393891
70,SAN JUAN,2021,789489,391627,397862
70,SAN JUAN,2022,797697,395895,401802
70,SAN JUAN,2023,805830,400125,405705
70,SAN JUAN,2024,813878,404312,409566
70,SAN JUAN,2025,821835,408452,413383
70,SAN JUAN,2026,829702,412547,417155
70,SAN JUAN,2027,837479,416597,420882
70,SAN JUAN,2028,845154,420596,424558
70,SAN JUAN,2029,852715,424538,428177
70,SAN JUAN,2030,860152,428417,431735
70,SAN JUAN,2031,867459,432231,435228
70,SAN JUAN,2032,874633,435978,438655
70,SAN JUAN,2033,881664,439654,442010
70,SAN JUAN,2034,888545,443254,445291
70,SAN JUAN,2035,895265,446773,448492
70,SAN JUAN,2036,901827,450212,451615
70,SAN JUAN,2037,908233,453572,454661
70,SAN JUAN,2038,914478,456850,457628
70,SAN JUAN,2039,920560,460044,460516
70,SAN JUAN,2040,926479,463155,463324
74,SAN LUIS,2010,443944,219940,224004
74,SAN LUIS,2011,450434,223189,227245
74,SAN LUIS,2012,456924,226438,230486
74,SAN LUIS,2013,463411,229686,233725
74,SAN LUIS,2014,469889,232930,236959
74,SAN LUIS,2015,476351,236166,240185
74,SAN LUIS,2016,482796,239393,243403
74,SAN LUIS,2017,489225,242612,246613
74,SAN LUIS,2018,495629,245817,249812
74,SAN LUIS,2019,502000,249005,252995
74,SAN LUIS,2020,508328,252170,256158
74,SAN LUIS,2021,514610,255311,259299
74,SAN LUIS,2022,520845,258428,262417
74,SAN LUIS,2023,527023,261514,265509
74,SAN LUIS,2024,533137,264567,268570
74,SAN LUIS,2025,539178,267582,271596
74,SAN LUIS,2026,545144,270559,274585
74,SAN LUIS,2027,551032,273496,277536
74,SAN LUIS,2028,556840,276392,280448
74,SAN LUIS,2029,562560,279242,283318
74,SAN LUIS,2030,568188,282046,286142
74,SAN LUIS,2031,573720,284801,288919
74,SAN LUIS,2032,579154,287506,291648
74,SAN LUIS,2033,584488,290161,294327
74,SAN LUIS,2034,589716,292763,296953
74,SAN LUIS,2035,594835,295310,299525
74,SAN LUIS,2036,599847,297803,302044
74,SAN LUIS,2037,604751,300241,304510
74,SAN LUIS,2038,609547,302625,306922
74,SAN LUIS,2039,614236,304955,309281
74,SAN LUIS,2040,618818,307232,311586
78,SANTA CRUZ,2010,275452,141644,133808
78,SANTA CRUZ,2011,284414,146235,138179
78,SANTA CRUZ,2012,293407,150842,142565
78,SANTA CRUZ,2013,302420,155459,146961
78,SANTA CRUZ,2014,311444,160081,151363
78,SANTA CRUZ,2015,320469,164703,155766
78,SANTA CRUZ,2016,329499,169327,160172
78,SANTA CRUZ,2017,338542,173956,164586
78,SANTA CRUZ,2018,347593,178589,169004
78,SANTA CRUZ,2019,356647,183222,173425
78,SANTA CRUZ,2020,365698,187852,177846
78,SANTA CRUZ,2021,374756,192484,182272
78,SANTA CRUZ,2022,383827,197121,186706
78,SANTA CRUZ,2023,392904,201759,191145
78,SANTA CRUZ,2024,401984,206396,195588
78,SANTA CRUZ,2025,411065,211032,200033
78,SANTA CRUZ,2026,420152,215668,204484
78,SANTA CRUZ,2027,429253,220309,208944
78,SANTA CRUZ,2028,438368,224954,213414
78,SANTA CRUZ,2029,447491,229601,217890
78,SANTA CRUZ,2030,456620,234248,222372
78,SANTA CRUZ,2031,465759,238897,226862
78,SANTA CRUZ,2032,474908,243548,231360
78,SANTA CRUZ,2033,484064,248199,235865
78,SANTA CRUZ,2034,493221,252847,240374
78,SANTA CRUZ,2035,502376,257491,244885
78,SANTA CRUZ,2036,511524,262128,249396
78,SANTA CRUZ,2037,520663,266756,253907
78,SANTA CRUZ,2038,529786,271372,258414
